"004","Afghanistan","Afghanistan, Islamic Republic of"
"008","Albania","Albania, Republic of"
"012","Algeria","Algeria, People's Democratic Republic of"
"016","American Samoa","American Samoa"
"020","Andorra","Andorra, Principality of"
"024","Angola","Angola, Republic of"
"660","Anguilla","Anguilla"
"010","Antarctica (the territory South of 60 deg S)","Antarctica (the territory South of 60 deg S)"
"028","Antigua/Barbuda","Antigua and Barbuda"
"032","Argentina","Argentina, Argentine Republic"
"051","Armenia","Armenia, Republic of"
"533","Aruba","Aruba"
"036","Australia","Australia, Commonwealth of"
"040","Austria","Austria, Republic of"
"031","Azerbaijan","Azerbaijan, Republic of"
"044","Bahamas","Bahamas, Commonwealth of the"
"048","Bahrain","Bahrain, Kingdom of"
"050","Bangladesh","Bangladesh, People's Republic of"
"052","Barbados","Barbados"
"112","Belarus","Belarus, Republic of"
"056","Belgium","Belgium, Kingdom of"
"084","Belize","Belize"
"204","Benin","Benin, Republic of"
"060","Bermuda","Bermuda"
"064","Bhutan","Bhutan, Kingdom of"
"068","Bolivia","Bolivia, Republic of"
"535","Bonaire","Bonaire,  Saint  Eustatius and Saba"
"070","Bosnia and Herzegovina","Bosnia and Herzegovina"
"072","Botswana","Botswana, Republic of"
"074","Bouvet Island (Bouvetoya)","Bouvet Island (Bouvetoya)"
"076","Brazil","Brazil, Federative Republic of"
"086","British Indian Ocean Territory (Chagos Archipelago)","British Indian Ocean Territory (Chagos Archipelago)"
"092","British Virgin Islands","British Virgin Islands"
"096","Brunei Daruss.","Brunei Darussalam"
"100","Bulgaria","Bulgaria, Republic of"
"854","Burkina Faso","Burkina Faso"
"000","Burma","Burma"
"108","Burundi","Burundi, Republic of"
"116","Cambodia","Cambodia, Kingdom of"
"120","Cameroon","Cameroon, Republic of"
"124","Canada","Canada"
"132","Cape Verde","Cape Verde, Republic of"
"136","Cayman Islands","Cayman Islands"
"140","Cen.African Rep","Central African Republic"
"148","Chad","Chad, Republic of"
"152","Chile","Chile, Republic of"
"156","China","China, People's Republic of"
"162","Christmas Island","Christmas Island"
"166","Cocos (Keeling) Islands","Cocos (Keeling) Islands"
"170","Colombia","Colombia, Republic of"
"174","Comoros","Comoros, Union of the"
"180","Congo, Democratic Republic Of","Congo, Democratic Republic of the"
"178","Congo, Republic Of","Congo, Republic of the"
"184","Cook Islands","Cook Islands"
"188","Costa Rica","Costa Rica, Republic of"
"191","Croatia","Croatia, Republic of"
"192","Cuba","Cuba, Republic of"
"196","Cyprus","Cyprus, Republic of"
"203","Czech Republic","Czech Republic"
"384","CÔTe D'Ivoire","Cote d'Ivoire, Republic of"
"208","Denmark","Denmark, Kingdom of"
"262","Djibouti","Djibouti, Republic of"
"212","Dominica","Dominica, Commonwealth of"
"214","Dominican Republic","Dominican Republic"
"530","Dutch Antilles","Netherlands Antilles"
"218","Ecuador","Ecuador, Republic of"
"818","Egypt","Egypt, Arab Republic of"
"222","El Salvador","El Salvador, Republic of"
"226","Equatorial Guin","Equatorial Guinea, Republic of"
"232","Eritrea","Eritrea, State of"
"233","Estonia","Estonia, Republic of"
"231","Ethiopia","Ethiopia, Federal Democratic Republic of"
"238","Falkland Islands (Malvinas)","Falkland Islands (Malvinas)"
"234","Faroe Islands","Faroe Islands"
"242","Fiji","Fiji, Republic of the Fiji Islands"
"246","Finland","Finland, Republic of"
"444","Finland     ","Finland     "
"250","France","France, French Republic"
"254","French Guayana","French Guiana"
"258","French Polynesia","French Polynesia"
"260","French Southern Territories","French Southern Territories"
"266","Gabon","Gabon, Gabonese Republic"
"270","Gambia","Gambia, Republic of the"
"268","Georgia","Georgia"
"276","Germany","Germany, Federal Republic of"
"288","Ghana","Ghana, Republic of"
"292","Gibraltar","Gibraltar"
"300","Greece","Greece, Hellenic Republic"
"304","Greenland","Greenland"
"308","Grenada","Grenada"
"312","Guadeloupe","Guadeloupe"
"316","Guam","Guam"
"320","Guatemala","Guatemala, Republic of"
"831","Guernsey","Guernsey, Bailiwick of"
"324","Guinea","Guinea, Republic of"
"624","Guinea-Bissau","Guinea-Bissau, Republic of"
"328","Guyana","Guyana, Co-operative Republic of"
"332","Haiti","Haiti, Republic of"
"334","Heard Island and McDonald Islands","Heard Island and McDonald Islands"
"336","Holy See (Vatican City State)","Holy See (Vatican City State)"
"340","Honduras","Honduras, Republic of"
"344","Hong Kong","Hong Kong, Special Administrative Region of China"
"348","Hungary","Hungary, Republic of"
"352","Iceland","Iceland, Republic of"
"356","India","India, Republic of"
"360","Indonesia","Indonesia, Republic of"
"364","Iran","Iran, Islamic Republic of"
"368","Iraq","Iraq, Republic of"
"372","Ireland","Ireland"
"833","Isle of Man","Isle of Man"
"376","Israel","Israel, State of"
"380","Italy","Italy, Italian Republic"
"388","Jamaica","Jamaica"
"392","Japan","Japan"
"832","Jersey","Jersey, Bailiwick of"
"400","Jordan","Jordan, Hashemite Kingdom of"
"0","KV","KV"
"398","Kazakhstan","Kazakhstan, Republic of"
"404","Kenya","Kenya, Republic of"
"296","Kiribati","Kiribati, Republic of"
"408","Korea, Democratic Republic","Korea, Democratic People's Republic of"
"414","Kuwait","Kuwait, State of"
"417","Kyrghizstan","Kyrgyz Republic"
"418","Laos","Lao People's Democratic Republic"
"428","Latvia","Latvia, Republic of"
"422","Lebanon","Lebanon, Lebanese Republic"
"426","Lesotho","Lesotho, Kingdom of"
"430","Liberia","Liberia, Republic of"
"434","Libyan Arab Jamahiriya","Libyan Arab Jamahiriya"
"438","Liechtenstein","Liechtenstein, Principality of"
"440","Lithuania","Lithuania, Republic of"
"442","Luxembourg","Luxembourg, Grand Duchy of"
"446","Macao","Macao, Special Administrative Region of China"
"807","Macedonia","Macedonia, Republic of"
"450","Madagascar","Madagascar, Republic of"
"454","Malawi","Malawi, Republic of"
"458","Malaysia","Malaysia"
"462","Maldives","Maldives, Republic of"
"466","Mali","Mali, Republic of"
"470","Malta","Malta, Republic of"
"584","Marshall Islands","Marshall Islands, Republic of the"
"474","Martinique","Martinique"
"478","Mauritania","Mauritania, Islamic Republic of"
"480","Mauritius","Mauritius, Republic of"
"175","Mayotte","Mayotte"
"484","Mexico","Mexico, United Mexican States"
"583","Micronesia","Micronesia, Federated States of"
"498","Moldova","Moldova, Republic of"
"492","Monaco","Monaco, Principality of"
"496","Mongolia","Mongolia"
"499","Montenegro","Montenegro, Republic of"
"500","Montserrat","Montserrat"
"504","Morocco","Morocco, Kingdom of"
"508","Mozambique","Mozambique, Republic of"
"104","Myanmar","Myanmar, Union of"
"534","NN","NN"
"516","Namibia","Namibia, Republic of"
"520","Nauru","Nauru, Republic of"
"524","Nepal","Nepal, State of"
"528","Netherlands","Netherlands, Kingdom of the"
"333","Neutral Zone    ","Neutral Zone    "
"540","New Caledonia","New Caledonia"
"554","New Zealand","New Zealand"
"558","Nicaragua","Nicaragua, Republic of"
"562","Niger","Niger, Republic of"
"566","Nigeria","Nigeria, Federal Republic of"
"570","Niue","Niue"
"574","Norfolk Island","Norfolk Island"
"580","Northern Mariana Islands","Northern Mariana Islands, Commonwealth of the"
"578","Norway","Norway, Kingdom of"
"728","OD","OD"
"512","Oman","Oman, Sultanate of"
"586","Pakistan","Pakistan, Islamic Republic of"
"585","Palau","Palau, Republic of"
"275","Palestine","Palestinian Territory, Occupied"
"591","Panama","Panama, Republic of"
"598","Papua New Guinea","Papua New Guinea, Independant State of"
"600","Paraguay","Paraguay, Republic of"
"604","Peru","Peru, Republic of"
"608","Philippines","Philippines, Republic of the"
"612","Pitcairn Islands","Pitcairn Islands"
"616","Poland","Poland, Republic of"
"620","Portugal","Portugal, Portuguese Republic"
"630","Puerto Rico","Puerto Rico, Commonwealth of"
"634","Qatar","Qatar, State of"
"638","Reunion","Reunion"
"642","Romania","Romania"
"643","Russia","Russian Federation"
"646","Rwanda","Rwanda, Republic of"
"678","S.Tome,Principe","Sao Tome and Principe, Democratic Republic of"
"652","Saint Barthelemy","Saint Barthelemy"
"654","Saint Helena","Saint Helena"
"663","Saint Martin","Saint Martin"
"666","Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"882","Samoa","Samoa, Independant State of"
"674","San Marino","San Marino, Republic of"
"682","Saudi Arabia","Saudi Arabia, Kingdom of"
"686","Senegal","Senegal, Republic of"
"688","Serbia","Serbia, Republic of"
"111","Serbia and Montenegro   ","Serbia and Montenegro   "
"891","Serbiamontenegr","Yugoslavia  "
"690","Seychelles","Seychelles, Republic of"
"694","Sierra Leone","Sierra Leone, Republic of"
"702","Singapore","Singapore, Republic of"
"703","Slovakia","Slovakia (Slovak Republic)"
"705","Slovenia","Slovenia, Republic of"
"090","Solomon Islands","Solomon Islands"
"706","Somalia","Somalia, Somali Republic"
"710","South Africa","South Africa, Republic of"
"239","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"410","South Korea","Korea, Republic of"
"724","Spain","Spain, Kingdom of"
"144","Sri Lanka","Sri Lanka, Democratic Socialist Republic of"
"659","St Kitts&Nevis","Saint Kitts and Nevis, Federation of"
"662","St. Lucia","Saint Lucia"
"670","St. Vincent","Saint Vincent and the Grenadines"
"736","Sudan","Sudan, Republic of"
